# {"coordinate_unit":"bohr","format":"chemblender_grid_sample","grid_id":"9f539ed5-4473-42ac-ad09-c37c648f501a","grid_origin":[-6.130000114440918,-5.869999885559082,-6.070000171661377],"grid_revision":"ac799fc1e2c9555bb062d6910905bc6eb1f8c0e8363b58d2c6039a3f6dbcab1e","grid_shape":[45,45,45],"grid_step_vectors":[[0.2800000011920929,0.0,0.0],[0.0,0.2800000011920929,0.0],[0.0,0.0,0.2800000011920929]],"kind":"plane","provenance_ids":["9a43ce0f-c6fb-4ed7-a8c3-7d6072f169ab"],"sampling":{"counts":[97,97],"dataset_index":0,"origin":[-4.5,0.13,-4.5],"u_vector":[9.0,0.0,0.0],"v_vector":[0.0,0.0,9.0]},"semantic_role":"electrostatic_potential","source_calculation":null,"structure_id":"9a20aa19-f6e3-41a3-9c23-0fc2f631990b","value_unit":"hartree_per_elementary_charge","version":1}
x,y,z,distance,value,valid_mask,coordinate_unit,value_unit
-4.5,0.13,-4.5,,-0.015642487179197435,1,bohr,hartree_per_elementary_charge
-4.5,0.13,-4.40625,,-0.015990586829678657,1,bohr,hartree_per_elementary_charge
-4.5,0.13,-4.3125,,-0.016353771465246594,1,bohr,hartree_per_elementary_charge
-4.5,0.13,-4.21875,,-0.01672011904282374,1,bohr,hartree_per_elementary_charge
-4.5,0.13,-4.125,,-0.017086466620400885,1,bohr,hartree_per_elementary_charge
-4.5,0.13,-4.03125,,-0.017466005731460413,1,bohr,hartree_per_elementary_charge
-4.5,0.13,-3.9375,,-0.017848057482995897,1,bohr,hartree_per_elementary_charge
-4.5,0.13,-3.84375,,-0.018230109234531375,1,bohr,hartree_per_elementary_charge
-4.5,0.13,-3.75,,-0.018622214600480424,1,bohr,hartree_per_elementary_charge
-4.5,0.13,-3.65625,,-0.019016047907530795,1,bohr,hartree_per_elementary_charge
-4.5,0.13,-3.5625,,-0.019409881214581169,1,bohr,hartree_per_elementary_charge
-4.5,0.13,-3.46875,,-0.019809065478358697,1,bohr,hartree_per_elementary_charge
-4.5,0.13,-3.375,,-0.020209072954018876,1,bohr,hartree_per_elementary_charge
-4.5,0.13,-3.28125,,-0.020609080429679051,1,bohr,hartree_per_elementary_charge
-4.5,0.13,-3.1875,,-0.021007847270846702,1,bohr,hartree_per_elementary_charge
-4.5,0.13,-3.09375,,-0.021406444937313293,1,bohr,hartree_per_elementary_charge
-4.5,0.13,-3,,-0.021805042603779884,1,bohr,hartree_per_elementary_charge
-4.5,0.13,-2.90625,,-0.022193636225706578,1,bohr,hartree_per_elementary_charge
-4.5,0.13,-2.8125,,-0.022581035356052503,1,bohr,hartree_per_elementary_charge
-4.5,0.13,-2.71875,,-0.022968434486398421,1,bohr,hartree_per_elementary_charge
-4.5,0.13,-2.625,,-0.023334720709670916,1,bohr,hartree_per_elementary_charge
-4.5,0.13,-2.53125,,-0.023698833588559225,1,bohr,hartree_per_elementary_charge
-4.5,0.13,-2.4375,,-0.024062946467447534,1,bohr,hartree_per_elementary_charge
-4.5,0.13,-2.34375,,-0.024392517448137675,1,bohr,hartree_per_elementary_charge
-4.5,0.13,-2.25,,-0.024719084853486027,1,bohr,hartree_per_elementary_charge
-4.5,0.13,-2.1562500000000004,,-0.025045652258834383,1,bohr,hartree_per_elementary_charge
-4.5,0.13,-2.0625,,-0.025322254829926696,1,bohr,hartree_per_elementary_charge
-4.5,0.13,-1.96875,,-0.0255952885791004,1,bohr,hartree_per_elementary_charge
-4.5,0.13,-1.8750000000000004,,-0.025868322328274101,1,bohr,hartree_per_elementary_charge
-4.5,0.13,-1.78125,,-0.026074693504390907,1,bohr,hartree_per_elementary_charge
-4.5,0.13,-1.6875,,-0.026277309164604711,1,bohr,hartree_per_elementary_charge
-4.5,0.13,-1.5937500000000004,,-0.0264799248248185,1,bohr,hartree_per_elementary_charge
-4.5,0.13,-1.5,,-0.0265990646955734,1,bohr,hartree_per_elementary_charge
-4.5,0.13,-1.40625,,-0.026714726555857472,1,bohr,hartree_per_elementary_charge
-4.5,0.13,-1.3125000000000004,,-0.026830388416141555,1,bohr,hartree_per_elementary_charge
-4.5,0.13,-1.21875,,-0.026847205929140729,1,bohr,hartree_per_elementary_charge
-4.5,0.13,-1.125,,-0.026861315546319306,1,bohr,hartree_per_elementary_charge
-4.5,0.13,-1.0312500000000004,,-0.026875425163497876,1,bohr,hartree_per_elementary_charge
-4.5,0.13,-0.9375,,-0.026778569100673812,1,bohr,hartree_per_elementary_charge
-4.5,0.13,-0.84375,,-0.026680213684256902,1,bohr,hartree_per_elementary_charge
-4.5,0.13,-0.75000000000000044,,-0.026581858080168677,1,bohr,hartree_per_elementary_charge
-4.5,0.13,-0.65625,,-0.026365430082079613,1,bohr,hartree_per_elementary_charge
-4.5,0.13,-0.5625,,-0.026149002083990538,1,bohr,hartree_per_elementary_charge
-4.5,0.13,-0.46875,,-0.025931010973300007,1,bohr,hartree_per_elementary_charge
-4.5,0.13,-0.375,,-0.025597363391975759,1,bohr,hartree_per_elementary_charge
-4.5,0.13,-0.28125,,-0.025263715810651503,1,bohr,hartree_per_elementary_charge
-4.5,0.13,-0.1875,,-0.024927148059272878,1,bohr,hartree_per_elementary_charge
-4.5,0.13,-0.09375,,-0.024484000523188065,1,bohr,hartree_per_elementary_charge
-4.5,0.13,0,,-0.024040852987103262,1,bohr,hartree_per_elementary_charge
-4.5,0.13,0.09375,,-0.023593889683928448,1,bohr,hartree_per_elementary_charge
-4.5,0.13,0.18749999999999911,,-0.023055351670099027,1,bohr,hartree_per_elementary_charge
-4.5,0.13,0.28125,,-0.022516813656269591,1,bohr,hartree_per_elementary_charge
-4.5,0.13,0.375,,-0.021974212685211089,1,bohr,hartree_per_elementary_charge
-4.5,0.13,0.46874999999999911,,-0.02135949642097602,1,bohr,hartree_per_elementary_charge
-4.5,0.13,0.5625,,-0.020744780156740937,1,bohr,hartree_per_elementary_charge
-4.5,0.13,0.65625,,-0.020126483496438977,1,bohr,hartree_per_elementary_charge
